CustomerID,last_purchase,n_orders,M,R,repeat,log_qty_sum,F_star,r_score,f_score,m_score,hard_cluster
12346,2011-01-18 10:01:00,12,77556.46,325,1,43.48362611072649,7.922543916608974,3,2,5,M5
12347,2011-12-07 15:52:00,8,5633.32,1,1,609.4897588758415,92.62346383137623,5,5,5,R5
12348,2011-09-25 13:13:00,5,2019.4,74,1,177.05771993015824,27.608657989523735,5,4,4,M4
12349,2011-11-21 09:51:00,4,4428.69,18,1,363.92447531950415,55.58867129792562,5,5,5,R5
12350,2011-02-02 16:01:00,1,334.4,309,0,41.600170074281806,6.290025511142271,3,2,2,M2
12351,2010-11-29 15:23:00,1,300.93,374,0,49.7117473899044,7.50676210848566,3,2,2,R3
12352,2011-11-03 14:37:00,10,2849.84,35,1,193.2988835473874,30.294832532108106,5,4,4,R5
12353,2011-05-19 17:47:00,2,406.76,203,1,53.02754279279408,8.854131418919112,4,2,2,R4
12354,2011-04-21 13:11:00,1,1079.4,231,0,115.17950675108492,17.32692601266274,4,3,3,F3
12355,2011-05-09 13:49:00,2,947.61,213,1,85.22397562486664,13.683596343729995,4,3,3,M3
12356,2011-11-17 08:40:00,6,6373.68,22,1,398.4502562106681,60.86753843160021,5,5,5,R5
12357,2011-11-06 16:07:00,3,18287.66,32,1,856.0138719569188,129.35208079353782,5,5,5,F5
12358,2011-12-08 10:26:00,5,3887.07,1,1,177.48126010229583,27.672189015344376,5,4,5,R5
12359,2011-10-13 12:47:00,10,8935.94,57,1,678.18900446754,103.028350670131,5,5,5,F5
12360,2011-10-18 15:22:00,8,4252.89,51,1,509.4805629277257,77.62208443915885,5,5,5,R5
12361,2011-02-25 13:51:00,4,511.25,286,1,59.81279725226199,9.971919587839297,3,2,2,M2
12362,2011-12-06 15:40:00,11,5356.23,2,1,550.3849363268417,83.90774044902625,5,5,5,R5
12363,2011-08-22 10:18:00,2,552.0,109,1,62.86887097089149,10.330330645633724,5,2,2,F2
12364,2011-12-02 10:22:00,4,1313.1,7,1,229.19517773197725,35.37927665979659,5,4,4,R5
12365,2011-02-21 14:04:00,2,641.38,290,1,45.27759663724133,7.691639495586199,3,2,3,F2
12366,2010-03-16 10:28:00,1,500.24,633,0,13.803382307164288,2.120507346074643,1,1,2,F1
12367,2011-12-05 16:48:00,1,168.9,3,0,26.570444137401104,4.035566620610165,5,1,1,R5
12368,2010-03-21 15:56:00,1,917.6999999999999,627,0,49.85964334189228,7.5289465012838415,1,2,3,M3
12369,2010-10-22 13:13:00,3,1791.15,412,1,226.5220289098676,34.92830433648013,3,4,4,F4
12370,2011-10-19 14:51:00,7,4320.31,50,1,425.1074438478209,64.91611657717313,5,5,5,R5
12371,2011-10-26 10:16:00,5,4067.38,44,1,353.45609910565315,54.06841486584797,5,5,5,R5
12372,2011-09-29 12:12:00,3,1298.04,71,1,133.51532082829948,20.97729812424492,5,3,4,F3
12373,2011-02-01 13:10:00,3,1127.65,310,1,113.88344293869157,18.032516440803736,3,3,3,F3
12374,2011-11-14 15:37:00,4,2989.2200000000003,24,1,222.7590912274363,34.41386368411544,5,4,4,R5
12375,2011-11-29 10:36:00,2,457.5,10,1,37.90648429844164,6.585972644766246,5,2,2,R5
12376,2010-11-15 12:15:00,2,503.15,389,1,31.77605180737523,5.666407771106283,3,1,2,R3
12377,2011-01-28 15:45:00,4,3426.32,314,1,381.66098542258777,58.24914781338816,3,5,5,R3
12378,2011-08-02 10:34:00,2,5416.32,129,1,662.4016665900818,100.26024998851227,5,5,5,F5
12379,2011-09-19 10:09:00,4,1620.22,81,1,184.449355450166,28.667403317524897,5,4,4,M4
12380,2011-11-18 11:27:00,11,9676.300000000001,21,1,653.2550478324616,99.33825717486924,5,5,5,R5
12381,2011-12-05 12:44:00,5,1845.31,4,1,181.96137406376477,28.344206109564716,5,4,4,R5
12383,2011-06-08 08:02:00,5,1850.56,184,1,242.21404887851625,37.38210733177743,4,4,4,M4
12384,2011-11-11 08:39:00,2,585.27,28,1,42.92933181433051,7.339399772149576,5,2,2,R5
12385,2010-11-25 15:14:00,1,1938.4,378,0,144.99339398779614,21.79900909816942,3,3,4,M4
12386,2011-01-06 12:37:00,2,660.8,337,1,53.472799677260085,8.920919951589013,3,2,3,F2
12387,2010-10-20 16:27:00,1,143.94,414,0,23.579986550580394,3.5869979825870586,3,1,1,M1
12388,2011-11-24 12:30:00,8,3901.11,15,1,355.6124218532656,54.54186327798983,5,5,5,R5
12389,2010-11-02 11:52:00,3,1433.33,402,1,120.28840106604946,18.99326015990742,3,3,4,F3
12390,2011-09-21 09:33:00,1,549.84,79,0,69.7738402670249,10.516076040053735,5,2,2,F2
12391,2011-11-18 12:07:00,6,2773.42,21,1,370.22144702851534,56.633217054277296,5,5,4,R5
12392,2010-04-27 14:04:00,1,234.75000000000003,590,0,14.53213009470936,2.2298195142064037,1,1,1,F1
12393,2011-09-28 15:41:00,6,2399.4500000000003,71,1,257.00511991776654,39.65076798766497,5,4,4,F4
12394,2011-10-07 08:08:00,2,1272.48,63,1,70.12764905124229,11.419147357686343,5,2,4,R5
12395,2011-11-20 15:21:00,15,5067.27,18,1,586.9667568771202,89.59501353156803,5,5,5,R5
12396,2010-02-03 13:22:00,1,931.43,673,0,143.90970560893618,21.636455841340428,1,3,3,M3
12397,2011-11-04 09:52:00,2,2409.9,35,1,277.67301080158995,42.55095162023849,5,4,4,R5
12398,2011-10-25 10:27:00,1,1635.6599999999999,45,0,230.69174359140368,34.65376153871055,5,4,4,F4
12399,2011-08-12 13:15:00,7,1962.3,118,1,304.24631087265277,46.786946630897916,5,4,4,M4
12400,2010-10-21 13:45:00,1,205.25,413,0,23.019070242954577,3.5028605364431864,3,1,1,F1
12401,2011-02-09 13:50:00,1,84.3,302,0,5.480638923341991,0.8720958385012987,3,1,1,F1
12402,2011-01-20 13:49:00,6,1256.9,322,1,149.30784110796662,23.496176166194996,3,3,3,R3
12403,2011-10-21 10:51:00,2,1019.36,49,1,25.075796793361764,4.661369519004265,5,1,3,M3
12404,2010-01-26 16:25:00,1,63.24,681,0,0.6931471805599453,0.1539720770839918,1,1,1,F1
12405,2011-07-14 08:52:00,1,1710.39,148,0,138.90070698969294,20.88510604845394,4,3,4,M4
12406,2011-11-17 19:22:00,5,6390.36,21,1,471.43694259457754,71.76554138918662,5,5,5,R5
12407,2011-10-21 10:11:00,5,1708.1200000000001,49,1,193.45354636996578,30.068031955494867,5,4,4,R5
