itemset,persistence_fraction
M2@0.3,1.0
M1@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
S4@0.3+S4@0.5,1.0
R5@0.3+R5@0.5+R5@0.7+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R2@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+S4@0.3+S4@0.5,1.0
R3@0.3+R3@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+S5@0.3+S5@0.5,1.0
R2@0.3+S5@0.3,1.0
R4@0.3+S5@0.3+S5@0.5,1.0
R4@0.3+R4@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
M2@0.3+M2@0.5+M2@0.7,1.0
R3@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+M1@0.5+R5@0.3,1.0
R4@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+M1@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+R5@0.3,1.0
M1@0.3+M2@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+R5@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+R4@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
R4@0.3+R4@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+R4@0.3,1.0
M1@0.3+R4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3,1.0
R3@0.3+R3@0.5+S5@0.3,1.0
M1@0.3+M1@0.5+R4@0.3,1.0
M1@0.3,1.0
M2@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M4@0.3+M4@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+R4@0.3+R4@0.5,1.0
R3@0.3+R3@0.5,1.0
S4@0.3+S4@0.5+S4@0.7,1.0
R3@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+M1@0.5+M1@0.7+S5@0.3+S5@0.5,1.0
M3@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+M1@0.7+S5@0.3+S5@0.5+S5@0.7,1.0
M2@0.3+R4@0.3,1.0
S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+R4@0.5+R4@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+R4@0.3,1.0
M3@0.3+S5@0.3+S5@0.5,1.0
S5@0.3,1.0
M1@0.3+M1@0.5+M1@0.7+S5@0.3+S5@0.5+S5@0.7,1.0
R3@0.3+R3@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+S5@0.3+S5@0.5,1.0
M4@0.3+M4@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
R5@0.3+R5@0.5,1.0
R3@0.3+S5@0.3,1.0
R3@0.3+R3@0.5+R3@0.7,1.0
R5@0.3+R5@0.5+S5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+R4@0.3,1.0
R4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M2@0.3+M2@0.5+S5@0.3,1.0
M3@0.3+M3@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M3@0.3+M3@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+M1@0.5+M1@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+R3@0.5+S5@0.3+S5@0.5,1.0
R2@0.3+R2@0.5,1.0
R4@0.3+R4@0.5+S5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+R5@0.3,1.0
M3@0.3+M3@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+R4@0.5+S5@0.3+S5@0.5,1.0
M2@0.3+M2@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+S5@0.3+S5@0.5,1.0
R4@0.3+R4@0.5+R4@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R2@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+R5@0.3+R5@0.5,1.0
M3@0.3+M3@0.5+S5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+R3@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+M2@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+S4@0.3+S4@0.5+S4@0.7,1.0
M3@0.3+M3@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+S5@0.3+S5@0.5,1.0
R4@0.3+S5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+R5@0.5+R5@0.7+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+R4@0.3+R4@0.5,1.0
M2@0.3+S5@0.3+S5@0.5,1.0
R1@0.3,1.0
M1@0.3+M1@0.5+S5@0.3+S5@0.5,1.0
M3@0.3+S5@0.3,1.0
M2@0.3+M2@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M3@0.3+M3@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+R3@0.5,1.0
R3@0.3+S5@0.3+S5@0.5,1.0
M2@0.3+R3@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+R5@0.3,1.0
R5@0.3+S5@0.3,1.0
R5@0.3+R5@0.5+R5@0.7+S5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M2@0.3,1.0
M1@0.3+S5@0.3+S5@0.5,1.0
R5@0.3+R5@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
M3@0.3+M3@0.5+M3@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M3@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M2@0.3+M2@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+M2@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+R3@0.3,1.0
M4@0.3,1.0
R5@0.3+R5@0.5+R5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+R5@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R1@0.3,1.0
R2@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+M1@0.7+S5@0.3+S5@0.5,1.0
R5@0.3+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+R5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R2@0.3+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+R5@0.5+R5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+R3@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+R5@0.3+R5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M3@0.3+M3@0.5+M3@0.7,1.0
R5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+M1@0.7+R4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+R3@0.3,1.0
R4@0.3+R5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R2@0.3+R2@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M2@0.3+M2@0.5+M2@0.7,1.0
M2@0.3+S5@0.3,1.0
S4@0.3,1.0
R2@0.3,1.0
M1@0.3+R5@0.3,1.0
M1@0.3+M1@0.5+S5@0.3+S5@0.5+S5@0.7,1.0
R5@0.3+R5@0.5+R5@0.7+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+R4@0.3+R4@0.5,1.0
M3@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R5@0.3+R5@0.5,1.0
R2@0.3+S5@0.3+S5@0.5,1.0
M1@0.3+M1@0.5,1.0
R5@0.3+S5@0.3+S5@0.5+S5@0.7,1.0
M1@0.3+M1@0.5+R3@0.3,1.0
M1@0.3+M1@0.5+M1@0.7+R4@0.3,1.0
F1@0.3+F1@0.5+F1@0.7+R3@0.3+R3@0.5+R3@0.7,1.0
S5@0.3+S5@0.5+S5@0.7,1.0
M2@0.3+R5@0.3,1.0
R5@0.3+R5@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+R3@0.3,1.0
R4@0.3+R4@0.5+S5@0.3+S5@0.5,1.0
F1@0.3+F1@0.5+F1@0.7+M3@0.3,1.0
