intent,intent_size,dimensions,n_customers,support
(universal root),0,,5878,1.0
F1,1,F,5524,0.9397754338210276
R5,1,R,3219,0.547635250085063
R5 & F1,2,RF,2882,0.49030282408982645
F1 & M1,2,FM,1213,0.2063627084042191
F1 & M2,2,FM,1180,0.20074855392990812
F1 & M3,2,FM,1166,0.198366791425655
M4,1,M,1161,0.19751616195985028
M5,1,M,1158,0.19700578428036747
F1 & M4,2,FM,1151,0.1958149030282409
R5 & M5,2,RM,1018,0.173188159237836
R3,1,R,893,0.15192242259271863
R3 & F1,2,RF,888,0.1510717931269139
F1 & M5,2,FM,814,0.13848247703300443
R5 & M4,2,RM,809,0.13763184756719973
R5 & F1 & M4,3,RFM,801,0.1362708404219122
R4,1,R,769,0.13082681184076217
R4 & F1,2,RF,759,0.12912555290915279
R5 & F1 & M5,3,RFM,689,0.11721674038788704
R5 & F1 & M3,3,RFM,630,0.10717931269139162
R2,1,R,533,0.09067710105478054
R2 & F1,2,RF,532,0.0905069751616196
R1,1,R,464,0.07893841442667573
R1 & F1,2,RF,463,0.07876828853351481
R5 & F1 & M2,3,RFM,446,0.07587614834977884
R5 & F1 & M1,3,RFM,316,0.05375978223885675
R3 & F1 & M2,3,RFM,271,0.0461041170466145
F2,1,F,256,0.04355222864920041
R1 & F1 & M1,3,RFM,256,0.04355222864920041
F2 & M5,2,FM,247,0.04202109561075196
R3 & F1 & M1,3,RFM,246,0.041850969717591016
R5 & F2,2,RF,244,0.04151071793126914
R5 & F2 & M5,3,RFM,237,0.040319836679142566
