intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned,base_profile
F1@0.3,1,F,5492,0.9343314052398775,0.9954479242534596,True,"('F1',)"
F1@0.3 & F1@0.5,2,F,5308,0.9030282408982647,0.9952901281085155,True,"('F1',)"
F1@0.3 & F1@0.5 & F1@0.7,3,F,4904,0.8342973800612453,0.9949021207177814,True,"('F1',)"
R5@0.3,1,R,3297,0.5609050697516162,0.9945404913557779,True,"('R5',)"
R5@0.3 & R5@0.5,2,R,3095,0.5265396393331065,0.9964458804523425,True,"('R5',)"
F1@0.3 & R5@0.3,2,FR,2928,0.49812861517522966,0.9965846994535519,True,"('F1', 'R5')"
R5@0.3 & R5@0.5 & R5@0.7,3,R,2787,0.4741408642395373,0.9960531036957302,True,"('R5',)"
F1@0.3 & F1@0.5 & R5@0.3,3,FR,2756,0.46886696155154817,0.9963715529753265,True,"('F1', 'R5')"
F1@0.3 & R5@0.3 & R5@0.5,3,FR,2732,0.46478394011568563,0.9981698389458272,True,"('F1', 'R5')"
F1@0.3 & F1@0.5 & R5@0.3 & R5@0.5,4,FR,2563,0.4360326641714869,0.9980491611392899,True,"('F1', 'R5')"
F1@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,FR,2428,0.4130656685947601,0.9979406919275123,True,"('F1', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3,4,FR,2396,0.40762164001361006,0.9958263772954925,True,"('F1', 'R5')"
F1@0.3 & F1@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,FR,2273,0.38669615515481454,0.9978002639683238,True,"('F1', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5,5,FR,2215,0.3768288533514801,0.9977426636568849,True,"('F1', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,FR,1951,0.33191561755699217,0.9974372116863147,True,"('F1', 'R5')"
