intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned,base_profile
F1@0.3,1,F,5492,0.9343314052398775,0.9954479242534596,True,"('F1',)"
R5@0.3,1,R,3297,0.5609050697516162,0.9945404913557779,True,"('R5',)"
F1@0.3 & R5@0.3,2,FR,2928,0.49812861517522966,0.9965846994535519,True,"('F1', 'R5')"
F1@0.3 & M2@0.3,2,FM,1668,0.2837699897924464,0.9910071942446044,True,"('F1', 'M2')"
M4@0.3,1,M,1655,0.2815583531813542,0.9879154078549849,True,"('M4',)"
F1@0.3 & F1@0.5 & M3@0.3,3,FM,1654,0.28138822728819324,0.9909310761789601,True,"('F1', 'M3')"
F1@0.3 & M4@0.3,2,FM,1620,0.2756039469207213,0.9907407407407407,True,"('F1', 'M4')"
F1@0.3 & M1@0.3,2,FM,1468,0.2497448111602586,0.9931880108991825,True,"('F1', 'M1')"
R4@0.3,1,R,1396,0.23749574685267097,0.9849570200573066,False,"('R4',)"
F1@0.3 & R4@0.3,2,FR,1375,0.23392310309629125,0.9890909090909091,True,"('F1', 'R4')"
M4@0.3 & R5@0.3,2,MR,1231,0.20942497448111602,0.9926888708367181,False,"('M4', 'R5')"
F1@0.3 & M4@0.3 & R5@0.3,3,FMR,1199,0.203980945899966,0.9949958298582152,False,"('F1', 'M4', 'R5')"
R3@0.3,1,R,1160,0.19734603606668935,0.9836206896551725,False,"('R3',)"
F1@0.3 & R3@0.3,2,FR,1153,0.19615515481456278,0.986990459670425,False,"('F1', 'R3')"
M5@0.3,1,M,1151,0.1958149030282409,0.9860990443092963,False,"('M5',)"
M5@0.3 & R5@0.3,2,MR,1026,0.1745491663831235,0.9922027290448343,False,"('M5', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & R5@0.3,4,FMR,926,0.15753657706702962,0.9935205183585313,False,"('F1', 'M3', 'R5')"
F2@0.3,1,F,880,0.1497107859816264,0.9772727272727273,False,"('F2',)"
F2@0.3 & R5@0.3,2,FR,811,0.13797209935352162,0.9864364981504316,False,"('F2', 'R5')"
R2@0.3,1,R,780,0.13269819666553248,0.9756410256410256,False,"('R2',)"
F1@0.3 & M5@0.3,2,FM,778,0.13235794487921063,0.993573264781491,False,"('F1', 'M5')"
F1@0.3 & R2@0.3,2,FR,776,0.13201769309288874,0.9806701030927835,False,"('F1', 'R2')"
F2@0.3 & M5@0.3,2,FM,713,0.12129976182374957,0.9859747545582047,False,"('F2', 'M5')"
F1@0.3 & M2@0.3 & R5@0.3,3,FMR,683,0.11619598502892141,0.9912152269399708,False,"('F1', 'M2', 'R5')"
F2@0.3 & M5@0.3 & R5@0.3,3,FMR,668,0.11364409663150732,0.9910179640718563,False,"('F2', 'M5', 'R5')"
F1@0.3 & M5@0.3 & R5@0.3,3,FMR,667,0.11347397073834638,0.9970014992503748,False,"('F1', 'M5', 'R5')"
F1@0.3 & F2@0.3,2,F,588,0.10003402517863219,0.9795918367346939,False,"('F1', 'F2')"
R1@0.3,1,R,587,0.09986389928547125,0.9812606473594548,False,"('R1',)"
F1@0.3 & F1@0.5 & F1@0.7 & R1@0.3,4,FR,586,0.09969377339231031,0.9829351535836177,False,"('F1', 'R1')"
F1@0.3 & F2@0.3 & R5@0.3,3,FR,532,0.0905069751616196,0.9887218045112782,False,"('F1', 'F2', 'R5')"
R4@0.3 & R5@0.3,2,R,510,0.08676420551207893,0.9725490196078431,False,"('R4', 'R5')"
F1@0.3 & R4@0.3 & R5@0.3,3,FR,500,0.08506294658046955,0.98,False,"('F1', 'R4', 'R5')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M2@0.3,5,FM,462,0.07859816264035387,0.9783549783549783,False,"('F1', 'M1', 'M2')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R3@0.3,5,FMR,462,0.07859816264035387,0.9805194805194806,False,"('F1', 'M2', 'R3')"
F1@0.3 & F1@0.5 & M3@0.3 & R4@0.3,4,FMR,457,0.07774753317454916,0.9803063457330415,False,"('F1', 'M3', 'R4')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R4@0.3,5,FMR,447,0.07604627424293978,0.9798657718120806,False,"('F1', 'M2', 'R4')"
F1@0.3 & F2@0.3 & M5@0.3,3,FM,433,0.07366451173868663,0.9907621247113164,False,"('F1', 'F2', 'M5')"
F1@0.3 & F1@0.5 & M2@0.3 & M3@0.3,4,FM,432,0.07349438584552569,0.9768518518518519,False,"('F1', 'M2', 'M3')"
F1@0.3 & F1@0.5 & M3@0.3 & M4@0.3,4,FM,421,0.07162300102075536,0.9762470308788599,False,"('F1', 'M3', 'M4')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R3@0.3,5,FMR,416,0.07077237155495067,0.9855769230769231,False,"('F1', 'M1', 'R3')"
M4@0.3 & R4@0.3,2,MR,409,0.0695814903028241,0.9731051344743277,False,"('M4', 'R4')"
F1@0.3 & M4@0.3 & R4@0.3,3,FMR,406,0.06907111262334127,0.9778325123152709,False,"('F1', 'M4', 'R4')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R5@0.3,5,FMR,404,0.06873086083701939,0.9900990099009901,False,"('F1', 'M1', 'R5')"
M4@0.3 & M5@0.3,2,M,403,0.06856073494385846,0.9851116625310173,False,"('M4', 'M5')"
F1@0.3 & F2@0.3 & M5@0.3 & R5@0.3,4,FMR,398,0.06771010547805376,0.9949748743718593,False,"('F1', 'F2', 'M5', 'R5')"
F1@0.3 & M4@0.3 & M5@0.3,3,FM,381,0.0648179652943178,0.9868766404199475,False,"('F1', 'M4', 'M5')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R1@0.3,5,FMR,379,0.06447771350799592,0.9894459102902374,False,"('F1', 'M1', 'R1')"
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & R3@0.3,5,FMR,371,0.0631167063627084,0.9757412398921833,False,"('F1', 'M3', 'R3')"
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & R2@0.3,5,FMR,364,0.06192582511058183,0.9835164835164835,False,"('F1', 'M1', 'R2')"
F2@0.3 & M4@0.3,2,FM,357,0.06073494385845526,0.9635854341736695,False,"('F2', 'M4')"
M4@0.3 & M5@0.3 & R5@0.3,3,MR,344,0.05852330724736305,0.9912790697674418,False,"('M4', 'M5', 'R5')"
F1@0.3 & M1@0.3 & R4@0.3,3,FMR,343,0.05835318135420211,0.9825072886297376,False,"('F1', 'M1', 'R4')"
F1@0.3 & F2@0.3 & M4@0.3,3,FM,323,0.05495066349098333,0.9721362229102167,False,"('F1', 'F2', 'M4')"
F1@0.3 & M4@0.3 & M5@0.3 & R5@0.3,4,FMR,322,0.054780537597822386,0.9937888198757764,False,"('F1', 'M4', 'M5', 'R5')"
F2@0.3 & M4@0.3 & R5@0.3,3,FMR,320,0.05444028581150051,0.978125,False,"('F2', 'M4', 'R5')"
R3@0.3 & R4@0.3,2,R,318,0.054100034025178635,0.9622641509433962,False,"('R3', 'R4')"
F1@0.3 & R3@0.3 & R4@0.3,3,FR,315,0.05358965634569581,0.9682539682539683,False,"('F1', 'R3', 'R4')"
R2@0.3 & R3@0.3,2,R,299,0.05086764205512079,0.959866220735786,False,"('R2', 'R3')"
F1@0.3 & R2@0.3 & R3@0.3,3,FR,297,0.05052739026879891,0.9663299663299664,False,"('F1', 'R2', 'R3')"
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & R2@0.3,5,FMR,294,0.050017012589316096,0.9693877551020408,False,"('F1', 'M2', 'R2')"
F1@0.3 & F2@0.3 & M4@0.3 & R5@0.3,4,FMR,289,0.0491663831235114,0.9826989619377162,False,"('F1', 'F2', 'M4', 'R5')"
F1@0.3 & F1@0.5 & M3@0.3 & M4@0.3 & R5@0.3,5,FMR,267,0.04542361347397074,0.9850187265917603,False,"('F1', 'M3', 'M4', 'R5')"
