k,kmeans_wss,fcm_fpc,fcm_partition_entropy,fcm_xie_beni,kmeans_knee_k
2,6144.0226876282895,0.8440852671276063,0.26891324568548197,0.3109158162322964,5
3,3660.0626304588513,0.7851729508085867,0.4078491100436065,0.2078396639964668,5
4,2435.497022092425,0.7556904230038989,0.4547718100287254,0.25981012981230417,5
5,1724.9353515382536,0.7400805807212328,0.4817940936704869,0.27094048411156424,5
6,1347.6763783239867,0.682688154167909,0.5885209761289267,0.5164367177814772,5
7,1055.9256338073722,0.6784517623747606,0.6400774770239426,0.26577320037769725,5
8,893.761259772112,0.618583939249534,0.7632324925247155,0.625257937568222,5
9,759.0371362028375,0.6195111425271373,0.7695452166101143,0.44741463099277495,5
10,644.2215956505598,0.6057734993834983,0.8225734344484599,0.3080994899217375,5
11,573.2605839642549,0.5839967637257578,0.8858815878272366,0.4484086893667301,5
12,515.8053346798523,0.5619290994640282,0.9517929308888118,0.3450067387101499,5
