comparison,metric,ci_lower_95,ci_upper_95,spans_zero,interval_type
Crisp RFM-FCA vs FCA-suppressed,Delta AUC,-0.0202565458820514,-0.0033573144371346,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
Crisp RFM-FCA vs FCA-suppressed,Delta Spend R2,-0.03175531033270724,-0.006049256242749829,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
Crisp RFM-FCA vs FCA-suppressed,Delta Invoices R2,-0.04937128151238209,-0.013040831560332112,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (matched k=30) vs FCA-suppressed,Delta AUC,-0.019791892805069045,0.0030030142625022678,True,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (matched k=30) vs FCA-suppressed,Delta Spend R2,-0.05808419470421415,-0.018732609018049545,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (matched k=30) vs FCA-suppressed,Delta Invoices R2,-0.03790684680300388,-0.0072309960765000675,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (natural k=5) vs FCA-suppressed,Delta AUC,-0.05289055369203896,-0.015416898020567183,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (natural k=5) vs FCA-suppressed,Delta Spend R2,-0.11257674028952384,-0.05707670262299297,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM soft (natural k=5) vs FCA-suppressed,Delta Invoices R2,-0.10570294535184092,-0.05499387560056207,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM hardened (matched k=30) vs FCA-suppressed,Delta AUC,-0.02569713182862737,0.002298309249362357,True,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM hardened (matched k=30) vs FCA-suppressed,Delta Spend R2,-0.05058500508927059,-0.005594855039453341,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
FCM hardened (matched k=30) vs FCA-suppressed,Delta Invoices R2,-0.02391683562225575,0.009574621561628912,True,95% Paired Customer Bootstrap (conditional on fixed split & models)
K-means one-hot (matched k=30) vs FCA-suppressed,Delta AUC,-0.03677275464940069,-0.008613508167910362,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
K-means one-hot (matched k=30) vs FCA-suppressed,Delta Spend R2,-0.08011318983542104,-0.028397423127575584,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
K-means one-hot (matched k=30) vs FCA-suppressed,Delta Invoices R2,-0.08672958412886451,-0.012045435294570942,False,95% Paired Customer Bootstrap (conditional on fixed split & models)
