threshold_set,levels,closed_concepts,kind
"baseline {0.3,0.5,0.7}","(0.3, 0.5, 0.7)",445,fixed
"alt {0.2,0.4,0.6}","(0.2, 0.4, 0.6)",759,fixed
"alt {0.25,0.5,0.75}","(0.25, 0.5, 0.75)",495,fixed
adaptive support-anchored (70 levels),[0.0141 .. 1],2398,adaptive
adaptive (per level),0.01408,147,adaptive_per_level
adaptive (per level),0.033571,141,adaptive_per_level
adaptive (per level),0.073125,137,adaptive_per_level
adaptive (per level),0.086957,122,adaptive_per_level
adaptive (per level),0.116883,117,adaptive_per_level
adaptive (per level),0.166667,97,adaptive_per_level
adaptive (per level),0.245454,80,adaptive_per_level
adaptive (per level),0.26087,81,adaptive_per_level
adaptive (per level),0.269481,79,adaptive_per_level
adaptive (per level),0.276749,77,adaptive_per_level
adaptive (per level),0.3,73,adaptive_per_level
adaptive (per level),0.306257,73,adaptive_per_level
adaptive (per level),0.318692,71,adaptive_per_level
adaptive (per level),0.324675,69,adaptive_per_level
adaptive (per level),0.338028,66,adaptive_per_level
adaptive (per level),0.402597,48,adaptive_per_level
adaptive (per level),0.416667,43,adaptive_per_level
adaptive (per level),0.5,36,adaptive_per_level
adaptive (per level),0.500906,40,adaptive_per_level
adaptive (per level),0.507042,40,adaptive_per_level
adaptive (per level),0.512195,39,adaptive_per_level
adaptive (per level),0.521739,38,adaptive_per_level
adaptive (per level),0.529282,38,adaptive_per_level
adaptive (per level),0.53574,37,adaptive_per_level
adaptive (per level),0.549316,34,adaptive_per_level
adaptive (per level),0.560521,34,adaptive_per_level
adaptive (per level),0.577465,32,adaptive_per_level
adaptive (per level),0.583333,32,adaptive_per_level
adaptive (per level),0.597403,32,adaptive_per_level
adaptive (per level),0.609756,32,adaptive_per_level
adaptive (per level),0.636843,32,adaptive_per_level
adaptive (per level),0.647311,32,adaptive_per_level
adaptive (per level),0.659937,31,adaptive_per_level
adaptive (per level),0.666667,30,adaptive_per_level
adaptive (per level),0.685019,29,adaptive_per_level
adaptive (per level),0.692308,28,adaptive_per_level
adaptive (per level),0.695652,28,adaptive_per_level
adaptive (per level),0.7,28,adaptive_per_level
adaptive (per level),0.719512,25,adaptive_per_level
adaptive (per level),0.724638,25,adaptive_per_level
adaptive (per level),0.75,24,adaptive_per_level
adaptive (per level),0.756693,22,adaptive_per_level
adaptive (per level),0.762054,22,adaptive_per_level
adaptive (per level),0.766234,20,adaptive_per_level
adaptive (per level),0.768157,20,adaptive_per_level
adaptive (per level),0.768685,20,adaptive_per_level
adaptive (per level),0.774648,20,adaptive_per_level
adaptive (per level),0.779487,20,adaptive_per_level
adaptive (per level),0.795311,19,adaptive_per_level
adaptive (per level),0.804365,19,adaptive_per_level
adaptive (per level),0.810827,19,adaptive_per_level
adaptive (per level),0.819357,19,adaptive_per_level
adaptive (per level),0.829268,19,adaptive_per_level
adaptive (per level),0.833333,18,adaptive_per_level
adaptive (per level),0.842183,15,adaptive_per_level
adaptive (per level),0.851802,15,adaptive_per_level
adaptive (per level),0.853659,15,adaptive_per_level
adaptive (per level),0.854843,15,adaptive_per_level
adaptive (per level),0.873239,15,adaptive_per_level
adaptive (per level),0.873752,14,adaptive_per_level
adaptive (per level),0.880358,13,adaptive_per_level
adaptive (per level),0.889469,13,adaptive_per_level
adaptive (per level),0.897723,12,adaptive_per_level
adaptive (per level),0.903757,10,adaptive_per_level
adaptive (per level),0.907385,9,adaptive_per_level
adaptive (per level),0.913926,8,adaptive_per_level
adaptive (per level),0.932122,8,adaptive_per_level
adaptive (per level),0.985915,7,adaptive_per_level
adaptive (per level),0.994031,7,adaptive_per_level
adaptive (per level),1,7,adaptive_per_level
