intent,intent_size,dimensions,n_customers,support
(universal root),0,,93357,1.0
F1,1,F,90553,0.9699647589361269
S5,1,S,55408,0.5935066465289158
F1 & S5,2,FS,53680,0.5749970543183692
M1,1,M,35158,0.3765973628115728
F1 & M1,2,FM,35003,0.3749370695287981
R4,1,R,26630,0.28524909755026406
M2,1,M,25937,0.2778259798408261
R4 & F1,2,RF,25785,0.27619782126675024
F1 & M2,2,FM,25384,0.2719024818706685
R5,1,R,25348,0.2715168653662821
R5 & F1,2,RF,24500,0.26243345437406945
M1 & S5,2,MS,21336,0.22854204826633245
F1 & M1 & S5,3,FMS,21235,0.22746017974013732
R3,1,R,20789,0.22268281971357262
R3 & F1,2,RF,20172,0.2160737812911726
S4,1,S,18213,0.19508981651081334
F1 & S4,2,FS,17853,0.19123365146694946
R5 & S5,2,RS,16183,0.17334533029124757
M3,1,M,16097,0.17242413530854675
R5 & F1 & S5,3,RFS,15617,0.16728258191672826
F1 & M3,2,FM,15400,0.16495817132084364
M2 & S5,2,MS,15342,0.1643369002859989
F1 & M2 & S5,3,FMS,14999,0.16066283192476194
R4 & S5,2,RS,14737,0.15785640069839432
R4 & F1 & S5,3,RFS,14258,0.15272555887614211
R2,1,R,13627,0.14596655847981405
R2 & F1,2,RF,13259,0.14202470087941987
R3 & S5,2,RS,12018,0.12873164304765577
R3 & F1 & S5,3,RFS,11625,0.12452199620810438
R4 & M1,2,RM,9998,0.1070942725237529
R4 & F1 & M1,3,RFM,9961,0.10669794444980023
M3 & S5,2,MS,9485,0.10159923733624689
M4,1,M,9363,0.10029242584915968
R5 & M1,2,RM,9185,0.09838576646636031
R5 & F1 & M1,3,RFM,9141,0.09791445740544362
F1 & M3 & S5,3,FMS,9040,0.09683258887924848
S1,1,S,8942,0.0957828550617522
F1 & S1,2,FS,8811,0.09437963944856839
F1 & M4,2,FM,8613,0.09225874867444327
R2 & S5,2,RS,8385,0.08981651081332948
R2 & F1 & S5,3,RFS,8167,0.08748138864787858
S3,1,S,7873,0.08433218719538974
R3 & M1,2,RM,7818,0.08374305086924387
R3 & F1 & M1,3,RFM,7785,0.08338956907355635
F1 & S3,2,FS,7447,0.07976905856015082
R4 & M2,2,RM,7290,0.07808734213824352
R5 & M2,2,RM,7192,0.07703760832074724
R4 & F1 & M2,3,RFM,7132,0.07639491414676992
R5 & F1 & M2,3,RFM,7040,0.07540944974667138
M1 & S4,2,MS,7025,0.07524877620317705
F1 & M1 & S4,3,FMS,7005,0.07503454481185128
R1,1,R,6963,0.07458465889006716
R1 & F1,2,RF,6837,0.0732350011247148
M5,1,M,6802,0.07286009618989471
F1 & M5,2,FM,6153,0.06590828754137344
R5 & M1 & S5,3,RMS,5989,0.06415159013250211
R5 & F1 & M1 & S5,4,RFMS,5958,0.06381953147594717
R3 & M2,2,RM,5752,0.06161294814529173
R4 & M1 & S5,3,RMS,5736,0.06144156303223111
R4 & F1 & M1 & S5,4,RFMS,5711,0.0611737737930739
R3 & F1 & M2,3,RFM,5614,0.06013475154514391
M4 & S5,2,MS,5368,0.057499705431836926
R2 & M1,2,RM,5350,0.05730689717964373
R2 & F1 & M1,3,RFM,5328,0.05707124264918539
M2 & S4,2,MS,5204,0.055743008022965605
R4 & S4,2,RS,5143,0.055089602279422
F1 & M2 & S4,3,FMS,5123,0.054875370888096235
R4 & F1 & S4,3,RFS,5035,0.05393275276626284
F1 & M4 & S5,3,FMS,4913,0.052625941279175636
R4 & M3,2,RM,4812,0.051544072752980494
R5 & S4,2,RS,4764,0.05102991741379864
R5 & F1 & S4,3,RFS,4654,0.04985164476150691
R3 & M1 & S5,3,RMS,4617,0.04945531668755423
R5 & M2 & S5,3,RMS,4598,0.04925179686579474
R3 & F1 & M1 & S5,4,RFMS,4593,0.0491982390179633
R4 & F1 & M3,3,RFM,4582,0.04908041175273413
R5 & M3,2,RM,4511,0.04831989031352764
R5 & F1 & M2 & S5,4,RFMS,4498,0.04818063990916589
R5 & F1 & M3,3,RFM,4318,0.04625255738723395
R3 & S4,2,RS,4181,0.04478507235665242
R3 & F1 & S4,3,RFS,4112,0.04404597405657851
R1 & S5,2,RS,4085,0.04375676167828872
R4 & M2 & S5,3,RMS,4022,0.043081932795612544
R1 & F1 & S5,3,RFS,4013,0.042985528669515945
R4 & F1 & M2 & S5,4,RFMS,3931,0.04210717996508028
M5 & S5,2,MS,3877,0.0415287552085007
R2 & M2,2,RM,3840,0.041132427134548025
R2 & F1 & M2,3,RFM,3765,0.04032905941707638
