intent,intent_size,dimensions,n_customers,support,stability_proxy
F1@0.3 & F1@0.5 & F1@0.7,3,F,90556,0.9699968936448258,0.9985865100048589
S5@0.3,1,S,55408,0.5935066465289158,0.9985200693040717
S5@0.3 & S5@0.5,2,S,55389,0.5933031267071563,0.9985195616458141
S5@0.3 & S5@0.5 & S5@0.7,3,S,55072,0.5899075591546429,0.9985655142359093
F1@0.3 & F1@0.5 & F1@0.7 & S5@0.3 & S5@0.5,5,FS,53681,0.5750077658879356,0.9995156573089174
F1@0.3 & F1@0.5 & F1@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,FS,53676,0.5749542080401041,0.9995156121916685
M1@0.3,1,M,40640,0.4353181871739666,0.9977116141732284
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3,4,FM,40412,0.43287594931285284,0.9987627437394834
M2@0.3,1,M,35314,0.3782683676639138,0.995695758056295
M1@0.3 & M1@0.5,2,M,34954,0.3744122026200499,0.9985981575785318
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5,5,FM,34801,0.37277333247640776,0.999281629838223
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3,4,FM,34594,0.37055603757618605,0.9978319939873966
R4@0.3,1,R,34292,0.3673211435671669,0.9951008981686691
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3,4,FR,33211,0.35574193686600897,0.9977116015777905
R5@0.3,1,R,30579,0.3275490857675375,0.995846822983093
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3,4,FR,29575,0.31679466992298383,0.9983093829247676
R3@0.3,1,R,28842,0.3089430894308943,0.9942445045419874
M1@0.3 & M1@0.5 & M1@0.7,3,M,28662,0.3070150069089624,0.9983950875723955
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7,6,FM,28574,0.306072388787129,0.9991250787429131
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3,4,FR,27990,0.2998168321604165,0.9972847445516256
R4@0.3 & R4@0.5,2,R,25451,0.27262015703160986,0.9971317433499666
R5@0.3 & R5@0.5,2,R,25348,0.2715168653662821,0.9972778917468834
M2@0.3 & M2@0.5,2,M,25239,0.2703493042835567,0.9968303023099172
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5,5,FM,24710,0.26468288398299,0.9982193443949818
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & R4@0.5,5,FR,24636,0.2638902278350847,0.9989446338691346
M1@0.3 & S5@0.3 & S5@0.5,3,MS,24553,0.2630011675610827,0.9989817944853989
M1@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,MS,24515,0.26259412791756376,0.9989802161941669
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5,5,FR,24500,0.26243345437406945,0.9989795918367347
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & S5@0.3 & S5@0.5,6,FMS,24404,0.2614051436957057,0.9995902311096542
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FMS,24400,0.2613622974174406,0.9995901639344262
M3@0.3,1,M,23934,0.25637070599955014,0.9931060416144397
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3,4,FM,22927,0.24558415544629755,0.9966851310681729
M1@0.3 & M1@0.5 & S5@0.3 & S5@0.5,4,MS,21216,0.22725665991837785,0.9994343891402715
M1@0.3 & M1@0.5 & S5@0.3 & S5@0.5 & S5@0.7,5,MS,21186,0.22693531283138918,0.9994335882186349
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & S5@0.3 & S5@0.5,7,FMS,21117,0.22619621453131528,0.9997632239427949
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & S5@0.3 & S5@0.5 & S5@0.7,8,FMS,21113,0.22615336825305013,0.9997631790839767
M2@0.3 & S5@0.3,2,MS,20937,0.22426813200938334,0.9980895066150833
M2@0.3 & S5@0.3 & S5@0.5,3,MS,20936,0.22425742043981706,0.9980894153611005
M2@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,MS,20853,0.2233683601658151,0.9981777202321009
R3@0.3 & R3@0.5,2,R,20638,0.22106537270906307,0.9952030235487935
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & S5@0.3 & S5@0.5,6,FMS,20488,0.21945863727411977,0.9992678641155799
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FMS,20487,0.2194479257045535,0.999267828378972
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3 & R3@0.5,5,FR,20035,0.21460629626059105,0.997504367357125
R2@0.3,1,R,19595,0.2098932056514241,0.9924980862464915
R4@0.3 & S5@0.3,2,RS,19433,0.20815793138168537,0.9978387279370143
R4@0.3 & S5@0.3 & S5@0.5,3,RS,19426,0.20808295039472133,0.9978379491403274
R5@0.3 & R5@0.5 & R5@0.7,3,R,19414,0.2079544115599259,0.9965488822499228
R5@0.3 & S5@0.3,2,RS,19375,0.20753666034684062,0.9984
R5@0.3 & S5@0.3 & S5@0.5,3,RS,19368,0.2074616793598766,0.9983994217265593
R4@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,RS,19303,0.20676542733806785,0.9978241724084339
R5@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,RS,19222,0.20589779020319848,0.9983872645926543
F1@0.3 & F1@0.5 & F1@0.7 & R2@0.3,4,FR,19053,0.2040875349464957,0.9959586416837244
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & S5@0.3 & S5@0.5,6,FRS,18795,0.20132394999839326,0.9992019154030327
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FRS,18793,0.2013025268592607,0.9992018304687915
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,FR,18757,0.2009169103548743,0.9986671642586767
S4@0.3,1,S,18731,0.2006384095461508,0.9918317228124499
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & S5@0.3 & S5@0.5,6,FRS,18715,0.20046702443309017,0.9994656692492653
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & S5@0.3 & S5@0.5 & S5@0.7,7,FRS,18714,0.2004563128635239,0.9994656406968045
S4@0.3 & S4@0.5,2,S,18707,0.20038133187655988,0.9920350670871866
S4@0.3 & S4@0.5 & S4@0.7,3,S,18219,0.19515408592821107,0.9961029694275207
F1@0.3 & F1@0.5 & F1@0.7 & S4@0.3 & S4@0.5,5,FS,17860,0.19130863245391347,0.9982642777155655
F1@0.3 & F1@0.5 & F1@0.7 & S4@0.3 & S4@0.5 & S4@0.7,6,FS,17853,0.19123365146694946,0.9985996751246289
M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5,5,MS,17444,0.18685261951433743,0.9993694106856226
M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5 & S5@0.7,6,MS,17428,0.18668123440127682,0.9993688317649759
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5,8,FMS,17384,0.18620992534036013,0.9997123791992637
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5 & M1@0.7 & S5@0.3 & S5@0.5 & S5@0.7,9,FMS,17381,0.18617779063166126,0.9997123295552615
M3@0.3 & M3@0.5,2,M,17346,0.18580288569684117,0.9923901764095469
R3@0.3 & S5@0.3,2,RS,16831,0.18028642737020256,0.9973263620699899
R3@0.3 & S5@0.3 & S5@0.5,3,RS,16826,0.1802328695223711,0.9973849994056817
R3@0.3 & S5@0.3 & S5@0.5 & S5@0.7,4,RS,16731,0.1792152704135737,0.9974896897973821
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5,5,FM,16593,0.17773707381342588,0.995600554450672
