signature,n_customers_in_signature,customer_unique_id,R,F_star,f_score,M,S,hard_cluster_label
F1+S5+M1+R5,5932,fff3e1d7bc75f11dc7670619b2e61840,40,0.2346573590279972,1,82.51,5.0,F1
F1+S5+M1+R5,5932,ffee94d548cef05b146d825a7648dab4,32,0.2346573590279972,1,35.36,5.0,F1
F1+S5+M1+R5,5932,ffd402998b20b0b8325f54e770264733,90,0.2346573590279972,1,22.78,5.0,F1
F1+S5+M1+R4,5391,00c1d73d161e74cfbe78975c1a2ba2ff,124,0.2346573590279972,1,57.93,5.0,F1
F1+S5+M1+R4,5391,000d460961d6dbfa3ec6c9f5805769e1,233,0.2346573590279972,1,36.68,5.0,F1
F1+S5+M1+R4,5391,0027324a96d26a2bc7d69262f83c8403,157,0.2346573590279972,1,46.78,5.0,F1
F1+S5+M1+R3,4495,00e04d8e3aaa5ffab327612642ab4564,259,0.2346573590279972,1,65.0,5.0,F1
F1+S5+M1+R3,4495,002bdeb33da5b1b3ce8b9c822f749c82,266,0.2346573590279972,1,38.09,5.0,F1
F1+S5+M1+R3,4495,0049a16516d38fc2246696172a257f16,243,0.2346573590279972,1,32.77,5.0,F1
F1+S5+M2+R5,4379,00950dbc783342e164c24e09023ebcb7,56,0.2346573590279972,1,89.1,5.0,F1
F1+S5+M2+R5,4379,008ca52811784a181c8c88e8d66b49db,13,0.2346573590279972,1,136.64,5.0,F1
F1+S5+M2+R5,4379,00720f160ff500d3605a1bf403eb62d9,102,0.2346573590279972,1,118.54,5.0,F1
F1+S5+M2+R4,3651,fed23f9632ca388a24a83a0999c33c79,142,0.2346573590279972,1,134.38,5.0,F1
F1+S5+M2+R4,3651,fefc267869d19d84e64c7ba061565ac2,157,0.2346573590279972,1,101.08,5.0,F1
F1+S5+M2+R4,3651,feff605547c0afb8279c7278941a1b6a,133,0.2346573590279972,1,117.31,5.0,F1
F1+S5+M1+R2,3384,ffbeaf37b7b79aaf8247735905f0863d,406,0.2346573590279972,1,70.82,5.0,F1
F1+S5+M1+R2,3384,feb4f4ac5cc52822cea09bc4a6687ec5,376,0.2346573590279972,1,34.39,5.0,F1
F1+S5+M1+R2,3384,feb5c47a617972ee276d95775a34d494,431,0.2346573590279972,1,32.1,5.0,F1
