intent,intent_size,dimensions,n_customers,support
(empty intent),0,,5878,1.0
F1,1,F,1176,0.20006805035726438
F2,1,F,1176,0.20006805035726438
F4,1,F,1176,0.20006805035726438
M1,1,M,1176,0.20006805035726438
M2,1,M,1176,0.20006805035726438
M4,1,M,1176,0.20006805035726438
R2,1,R,1176,0.20006805035726438
R4,1,R,1176,0.20006805035726438
R5,1,R,1176,0.20006805035726438
F3,1,F,1175,0.19989792446410343
F5,1,F,1175,0.19989792446410343
M3,1,M,1175,0.19989792446410343
M5,1,M,1175,0.19989792446410343
R1,1,R,1175,0.19989792446410343
R3,1,R,1175,0.19989792446410343
F5 & M5,2,FM,899,0.15294317795168424
F1 & M1,2,FM,673,0.11449472609731201
F4 & M4,2,FM,570,0.09697175910173528
R5 & F5,2,RF,566,0.09629125552909153
R5 & M5,2,RM,524,0.08914596801633208
R1 & M1,2,RM,516,0.08778496087104458
R1 & F1,2,RF,513,0.08727458319156176
F3 & M3,2,FM,477,0.08115005103776794
R5 & F5 & M5,3,RFM,470,0.07995916978564137
F2 & M2,2,FM,423,0.07196325280707724
F2 & M1,2,FM,411,0.06992174208914596
R1 & F2,2,RF,389,0.06617897243960531
F1 & M2,2,FM,367,0.06243620279006465
R1 & M2,2,RM,340,0.05784280367471929
R4 & F5,2,RF,336,0.057162300102075535
R2 & M2,2,RM,335,0.056992174208914594
R4 & M5,2,RM,334,0.05682204831575366
R2 & F2,2,RF,321,0.05461041170466145
R3 & F4,2,RF,321,0.05461041170466145
F4 & M3,2,FM,320,0.05444028581150051
R1 & F1 & M1,3,RFM,320,0.05444028581150051
R3 & M4,2,RM,319,0.05427015991833957
F3 & M2,2,FM,314,0.05341953045253488
R4 & F4,2,RF,308,0.052398775093569244
R2 & F1,2,RF,304,0.051718271520925486
R2 & M1,2,RM,295,0.05018713848247703
R4 & M4,2,RM,293,0.049846886696155154
R2 & M3,2,RM,287,0.04882613133718952
R2 & F3,2,RF,286,0.04865600544402858
R5 & M4,2,RM,279,0.047465124191902006
R3 & F3,2,RF,268,0.04559373936713168
R5 & F4,2,RF,264,0.04491323579448792
R3 & M3,2,RM,262,0.04457298400816604
F2 & M3,2,FM,257,0.04372235454236135
F3 & M4,2,FM,255,0.043382102756039466
F5 & M4,2,FM,254,0.04321197686287853
R4 & F3,2,RF,253,0.04304185096971759
R4 & M3,2,RM,251,0.042701599183395715
R4 & F5 & M5,3,RFM,249,0.04236134739707383
R3 & M2,2,RM,222,0.037767948281728476
R2 & F4,2,RF,211,0.03589656345695815
F4 & M5,2,FM,209,0.03555631167063627
R3 & M5,2,RM,206,0.03504593399115345
R3 & F5,2,RF,202,0.034365430418509695
R5 & M3,2,RM,193,0.032834297380061245
R3 & F1,2,RF,192,0.032664171486900304
R3 & F2,2,RF,192,0.032664171486900304
R2 & M4,2,RM,186,0.03164341612793467
R1 & F3,2,RF,184,0.031303164341612795
R5 & F3,2,RF,184,0.031303164341612795
R1 & M3,2,RM,182,0.030962912555290916
R1 & F2 & M1,3,RFM,173,0.029431779516842463
R3 & F4 & M4,3,RFM,168,0.028581150051037767
R3 & M1,2,RM,166,0.02824089826471589
R4 & F2,2,RF,166,0.02824089826471589
R4 & M2,2,RM,165,0.02807077237155495
R2 & F1 & M1,3,RFM,163,0.027730520585233072
R1 & F1 & M2,3,RFM,149,0.025348758080979927
R4 & F4 & M4,3,RFM,146,0.024838380401497107
R1 & F2 & M2,3,RFM,137,0.023307247363048657
R3 & F5 & M5,3,RFM,135,0.022966995576726778
R5 & F4 & M4,3,RFM,135,0.022966995576726778
R4 & M1,2,RM,133,0.0226267437904049
R2 & F2 & M2,3,RFM,123,0.020925484858795508
R2 & F2 & M1,3,RFM,116,0.019734603606668934
R5 & M2,2,RM,114,0.01939435182034706
R4 & F1,2,RF,113,0.019224225927186117
R2 & F3 & M3,3,RFM,111,0.018883974140864238
R3 & F3 & M3,3,RFM,109,0.018543722354542363
R5 & F2,2,RF,108,0.01837359646138142
R4 & F3 & M3,3,RFM,108,0.01837359646138142
F1 & M3,2,FM,103,0.017522966995576726
R1 & M4,2,RM,99,0.016842463422932972
R2 & F3 & M2,3,RFM,98,0.01667233752977203
R2 & F1 & M2,3,RFM,96,0.016332085743450152
R3 & F1 & M1,3,RFM,94,0.015991833957128276
R5 & F5 & M4,3,RFM,92,0.015651582170806397
R2 & F4 & M4,3,RFM,87,0.014800952705001702
R4 & F5 & M4,3,RFM,85,0.014460700918679823
F3 & M1,2,FM,83,0.014120449132357944
R5 & F3 & M3,3,RFM,78,0.013269819666553249
R5 & F4 & M3,3,RFM,77,0.013099693773392311
R2 & F4 & M3,3,RFM,76,0.012929567880231372
R4 & F4 & M3,3,RFM,76,0.012929567880231372
R4 & F4 & M5,3,RFM,74,0.012589316093909493
R2 & M5,2,RM,73,0.012419190200748553
R1 & F4,2,RF,72,0.012249064307587616
F2 & M4,2,FM,71,0.012078938414426676
R1 & F3 & M3,3,RFM,71,0.012078938414426676
R3 & F3 & M4,3,RFM,70,0.011908812521265737
R3 & F4 & M3,3,RFM,70,0.011908812521265737
F4 & M2,2,FM,69,0.011738686628104797
R4 & F1 & M1,3,RFM,69,0.011738686628104797
R3 & F1 & M2,3,RFM,68,0.011568560734943858
R5 & M1,2,RM,66,0.01122830894862198
R3 & F2 & M2,3,RFM,65,0.011058183055461041
