intent,intent_size,dimensions,n_customers,support
F1,1,F,1176,0.20006805035726438
F2,1,F,1176,0.20006805035726438
F4,1,F,1176,0.20006805035726438
M1,1,M,1176,0.20006805035726438
M2,1,M,1176,0.20006805035726438
M4,1,M,1176,0.20006805035726438
R2,1,R,1176,0.20006805035726438
R4,1,R,1176,0.20006805035726438
R5,1,R,1176,0.20006805035726438
F3,1,F,1175,0.19989792446410343
F5,1,F,1175,0.19989792446410343
M3,1,M,1175,0.19989792446410343
M5,1,M,1175,0.19989792446410343
R1,1,R,1175,0.19989792446410343
R3,1,R,1175,0.19989792446410343
F5 & M5,2,FM,899,0.15294317795168424
F1 & M1,2,FM,673,0.11449472609731201
F4 & M4,2,FM,570,0.09697175910173528
R5 & F5,2,RF,566,0.09629125552909153
R5 & M5,2,RM,524,0.08914596801633208
R1 & M1,2,RM,516,0.08778496087104458
R1 & F1,2,RF,513,0.08727458319156176
F3 & M3,2,FM,477,0.08115005103776794
R5 & F5 & M5,3,RFM,470,0.07995916978564137
F2 & M2,2,FM,423,0.07196325280707724
F2 & M1,2,FM,411,0.06992174208914596
R1 & F2,2,RF,389,0.06617897243960531
F1 & M2,2,FM,367,0.06243620279006465
R1 & M2,2,RM,340,0.05784280367471929
R4 & F5,2,RF,336,0.057162300102075535
R2 & M2,2,RM,335,0.056992174208914594
R4 & M5,2,RM,334,0.05682204831575366
R2 & F2,2,RF,321,0.05461041170466145
R3 & F4,2,RF,321,0.05461041170466145
F4 & M3,2,FM,320,0.05444028581150051
R1 & F1 & M1,3,RFM,320,0.05444028581150051
R3 & M4,2,RM,319,0.05427015991833957
F3 & M2,2,FM,314,0.05341953045253488
R4 & F4,2,RF,308,0.052398775093569244
R2 & F1,2,RF,304,0.051718271520925486
R2 & M1,2,RM,295,0.05018713848247703
R4 & M4,2,RM,293,0.049846886696155154
R2 & M3,2,RM,287,0.04882613133718952
R2 & F3,2,RF,286,0.04865600544402858
R5 & M4,2,RM,279,0.047465124191902006
R3 & F3,2,RF,268,0.04559373936713168
R5 & F4,2,RF,264,0.04491323579448792
R3 & M3,2,RM,262,0.04457298400816604
F2 & M3,2,FM,257,0.04372235454236135
F3 & M4,2,FM,255,0.043382102756039466
F5 & M4,2,FM,254,0.04321197686287853
R4 & F3,2,RF,253,0.04304185096971759
R4 & M3,2,RM,251,0.042701599183395715
R4 & F5 & M5,3,RFM,249,0.04236134739707383
