intent,intent_size,dimensions,n_customers,support,stability_proxy,is_kneedle_pruned
F1@0.3,1,F,5492,0.9343314052398775,0.9954479242534596,True
F1@0.3 & F1@0.5,2,F,5308,0.9030282408982647,0.9952901281085155,True
F1@0.3 & F1@0.5 & F1@0.7,3,F,4904,0.8342973800612453,0.9949021207177814,True
R5@0.3,1,R,3297,0.5609050697516162,0.9945404913557779,True
R5@0.3 & R5@0.5,2,R,3095,0.5265396393331065,0.9964458804523425,True
F1@0.3 & R5@0.3,2,RF,2928,0.49812861517522966,0.9965846994535519,True
R5@0.3 & R5@0.5 & R5@0.7,3,R,2787,0.4741408642395373,0.9960531036957302,True
F1@0.3 & F1@0.5 & R5@0.3,3,RF,2756,0.46886696155154817,0.9963715529753265,True
F1@0.3 & R5@0.3 & R5@0.5,3,RF,2732,0.46478394011568563,0.9981698389458272,True
F1@0.3 & F1@0.5 & R5@0.3 & R5@0.5,4,RF,2563,0.4360326641714869,0.9980491611392899,True
F1@0.3 & R5@0.3 & R5@0.5 & R5@0.7,4,RF,2428,0.4130656685947601,0.9979406919275123,True
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3,4,RF,2396,0.40762164001361006,0.9958263772954925,True
F1@0.3 & F1@0.5 & R5@0.3 & R5@0.5 & R5@0.7,5,RF,2273,0.38669615515481454,0.9978002639683238,True
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5,5,RF,2215,0.3768288533514801,0.9977426636568849,True
F1@0.3 & F1@0.5 & F1@0.7 & R5@0.3 & R5@0.5 & R5@0.7,6,RF,1951,0.33191561755699217,0.9974372116863147,True
F1@0.3 & M2@0.3,2,FM,1668,0.2837699897924464,0.9910071942446044,True
F1@0.3 & F1@0.5 & M2@0.3,3,FM,1667,0.2835998638992855,0.991001799640072,True
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3,4,FM,1666,0.28342973800612453,0.9909963985594238,True
M4@0.3,1,M,1655,0.2815583531813542,0.9879154078549849,True
F1@0.3 & F1@0.5 & M3@0.3,3,FM,1654,0.28138822728819324,0.9909310761789601,True
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3,4,FM,1637,0.2784960871044573,0.9908368967623702,True
F1@0.3 & M4@0.3,2,FM,1620,0.2756039469207213,0.9907407407407407,True
F1@0.3 & F1@0.5 & M4@0.3,3,FM,1553,0.2642055120789384,0.9903412749517064,True
F1@0.3 & M1@0.3,2,FM,1468,0.2497448111602586,0.9931880108991825,True
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3,4,FM,1467,0.24957468526709764,0.9931833674164963,True
R4@0.3,1,R,1396,0.23749574685267097,0.9849570200573066,True
F1@0.3 & R4@0.3,2,RF,1375,0.23392310309629125,0.9890909090909091,True
F1@0.3 & F1@0.5 & R4@0.3,3,RF,1350,0.22966995576726779,0.9888888888888889,True
F1@0.3 & F1@0.5 & F1@0.7 & M4@0.3,4,FM,1297,0.220653283429738,0.9884348496530455,True
F1@0.3 & F1@0.5 & F1@0.7 & R4@0.3,4,RF,1282,0.21810139503232392,0.9882995319812793,True
F1@0.3 & M2@0.3 & M2@0.5,3,FM,1280,0.21776114324600204,0.9890625,True
F1@0.3 & F1@0.5 & F1@0.7 & M2@0.3 & M2@0.5,5,FM,1279,0.21759101735284112,0.9890539483971853,True
F1@0.3 & F1@0.5 & M3@0.3 & M3@0.5,4,FM,1241,0.2111262334127254,0.991941982272361,True
M4@0.3 & M4@0.5,2,M,1236,0.21027560394692071,0.988673139158576,True
F1@0.3 & F1@0.5 & F1@0.7 & M3@0.3 & M3@0.5,5,FM,1232,0.20959510037427698,0.9918831168831169,True
M4@0.3 & R5@0.3,2,RM,1231,0.20942497448111602,0.9926888708367181,True
F1@0.3 & M4@0.3 & M4@0.5,3,FM,1216,0.20687308608370195,0.9925986842105263,True
F1@0.3 & M4@0.3 & R5@0.3,3,RFM,1199,0.203980945899966,0.9949958298582152,True
F1@0.3 & M1@0.3 & M1@0.5,3,FM,1198,0.20381082000680503,0.9958263772954925,True
F1@0.3 & F1@0.5 & F1@0.7 & M1@0.3 & M1@0.5,5,FM,1197,0.2036406941136441,0.9958228905597326,True
F1@0.3 & F1@0.5 & M4@0.3 & M4@0.5,4,FM,1171,0.1992174208914597,0.9923142613151152,True
R3@0.3,1,R,1160,0.19734603606668935,0.9836206896551725,True
M4@0.3 & R5@0.3 & R5@0.5,3,RM,1155,0.19649540660088466,0.9948051948051948,True
F1@0.3 & R3@0.3,2,RF,1153,0.19615515481456278,0.986990459670425,True
M5@0.3,1,M,1151,0.1958149030282409,0.9860990443092963,True
F1@0.3 & F1@0.5 & R3@0.3,3,RF,1146,0.1949642735624362,0.9869109947643979,True
F1@0.3 & F1@0.5 & M4@0.3 & R5@0.3,4,RFM,1138,0.1936032664171487,0.9947275922671354,True
F1@0.3 & F1@0.5 & F1@0.7 & R3@0.3,4,RF,1130,0.19224225927186117,0.9867256637168141,True
