CustomerID,R,F,M,R_paper_score,F_paper_score,M_paper_score,scoring_arm,R_fuzzy_score,F_fuzzy_score,M_fuzzy_score
12346,325,12,77556.46,2.0,5.0,5.0,base-paper quintile,,,
12347,1,8,5633.32,5.0,4.0,5.0,base-paper quintile,,,
12348,74,5,2019.4,3.0,4.0,4.0,base-paper quintile,,,
12349,18,4,4428.69,5.0,3.0,5.0,base-paper quintile,,,
12350,309,1,334.4,2.0,1.0,2.0,base-paper quintile,,,
12351,374,1,300.93,2.0,1.0,2.0,base-paper quintile,,,
12352,35,10,2849.84,4.0,5.0,4.0,base-paper quintile,,,
12353,203,2,406.76,2.0,2.0,2.0,base-paper quintile,,,
12354,231,1,1079.4,2.0,1.0,3.0,base-paper quintile,,,
12355,213,2,947.61,2.0,2.0,3.0,base-paper quintile,,,
12356,22,6,6373.68,4.0,4.0,5.0,base-paper quintile,,,
12357,32,3,18287.66,4.0,3.0,5.0,base-paper quintile,,,
12358,1,5,3887.07,5.0,4.0,5.0,base-paper quintile,,,
12359,57,10,8935.94,4.0,5.0,5.0,base-paper quintile,,,
12360,51,8,4252.89,4.0,4.0,5.0,base-paper quintile,,,
12361,286,4,511.25,2.0,3.0,2.0,base-paper quintile,,,
12362,2,11,5356.23,5.0,5.0,5.0,base-paper quintile,,,
12363,109,2,552.0,3.0,2.0,2.0,base-paper quintile,,,
12364,7,4,1313.1,5.0,3.0,4.0,base-paper quintile,,,
12365,290,2,641.38,2.0,2.0,3.0,base-paper quintile,,,
12366,633,1,500.24,1.0,1.0,2.0,base-paper quintile,,,
12367,3,1,168.9,5.0,1.0,1.0,base-paper quintile,,,
12368,627,1,917.6999999999999,1.0,1.0,3.0,base-paper quintile,,,
12369,412,3,1791.15,1.0,3.0,4.0,base-paper quintile,,,
12370,50,7,4320.31,4.0,4.0,5.0,base-paper quintile,,,
12371,44,5,4067.38,4.0,4.0,5.0,base-paper quintile,,,
12372,71,3,1298.04,3.0,3.0,4.0,base-paper quintile,,,
