itemset,persistence_fraction
M4@0.3+R5@0.3+R5@0.5,1.0
F3@0.3+F3@0.5+R5@0.3,1.0
F5@0.3+M5@0.3+M5@0.5+R5@0.3,1.0
F1@0.3+F1@0.5+M1@0.3+M1@0.5,1.0
M2@0.3+M2@0.5,1.0
F2@0.3+F2@0.5,1.0
F5@0.3+F5@0.5+M5@0.3+M5@0.5+R5@0.3,1.0
F3@0.3+R5@0.3,1.0
M5@0.3+R5@0.3+R5@0.5+R5@0.7,1.0
F2@0.3+F2@0.5+M2@0.3+M2@0.5,1.0
M1@0.3+M1@0.5,1.0
F4@0.3+M4@0.3,1.0
F1@0.3+M1@0.3+M1@0.5+M1@0.7,1.0
F4@0.3+R5@0.3,1.0
F2@0.3+M2@0.3+M2@0.5,1.0
F4@0.3+F4@0.5+M4@0.3,1.0
M3@0.3+M3@0.5,1.0
F4@0.3+F4@0.5+M4@0.3+R5@0.3,1.0
R5@0.3+R5@0.5,1.0
M5@0.3+M5@0.5+R5@0.3,1.0
F3@0.3+F3@0.5+F3@0.7,1.0
F1@0.3+F1@0.5+F1@0.7+M1@0.3+M1@0.5+M1@0.7,1.0
F3@0.3+F3@0.5,1.0
R4@0.3+R4@0.5,1.0
F4@0.3+M4@0.3+M4@0.5+R5@0.3+R5@0.5,1.0
M4@0.3+R5@0.3,1.0
F5@0.3+F5@0.5+M5@0.3+R5@0.3,1.0
F4@0.3+M4@0.3+R5@0.3,1.0
F2@0.3+M2@0.3,1.0
F5@0.3+M5@0.3+R5@0.3+R5@0.5+R5@0.7,1.0
F5@0.3+M5@0.3+R5@0.3,1.0
F5@0.3+F5@0.5+R5@0.3+R5@0.5+R5@0.7,1.0
F4@0.3+F4@0.5+F4@0.7,1.0
M1@0.3,1.0
F4@0.3+M4@0.3+M4@0.5,1.0
F5@0.3+F5@0.5+M5@0.3+R5@0.3+R5@0.5,1.0
M4@0.3,1.0
F3@0.3+R5@0.3+R5@0.5+R5@0.7,1.0
R5@0.3,1.0
F3@0.3,1.0
F4@0.3+M4@0.3+R5@0.3+R5@0.5,1.0
M5@0.3,1.0
F1@0.3+F1@0.5+F1@0.7,1.0
M2@0.3+M2@0.5+M2@0.7,1.0
F1@0.3+M1@0.3+M1@0.5,1.0
F1@0.3+F1@0.5+M1@0.3,1.0
F4@0.3+F4@0.5,1.0
F5@0.3+F5@0.5+M5@0.3,1.0
F5@0.3+F5@0.5+M5@0.3+M5@0.5,1.0
F4@0.3+M4@0.3+R5@0.3+R5@0.5+R5@0.7,1.0
M3@0.3+M3@0.5+R5@0.3,1.0
F5@0.3+M5@0.3+M5@0.5+R5@0.3+R5@0.5+R5@0.7,1.0
F3@0.3+R5@0.3+R5@0.5,1.0
F3@0.3+M3@0.3+M3@0.5,1.0
M5@0.3+M5@0.5,1.0
F5@0.3+F5@0.5+M5@0.3+R5@0.3+R5@0.5+R5@0.7,1.0
F1@0.3+F1@0.5,1.0
F5@0.3+M5@0.3+M5@0.5,1.0
M5@0.3+M5@0.5+M5@0.7,1.0
F4@0.3+F4@0.5+R5@0.3,1.0
M5@0.3+M5@0.5+R5@0.3+R5@0.5+R5@0.7,1.0
M3@0.3,1.0
F5@0.3+M5@0.3+M5@0.5+R5@0.3+R5@0.5,1.0
R3@0.3,1.0
F5@0.3+F5@0.5,1.0
M4@0.3+M4@0.5+R5@0.3+R5@0.5,1.0
F4@0.3+F4@0.5+M4@0.3+M4@0.5,1.0
M5@0.3+M5@0.5+R5@0.3+R5@0.5,1.0
