signature,n_in_signature,CustomerID,R,M,n_orders,hard_cluster
R5+F5+M5,685,12347,1,5633.32,8,R5
R5+F5+M5,685,12357,32,18287.66,3,F5
R5+F5+M5,685,12359,57,8935.94,10,F5
R5+M4+F4,570,12348,74,2019.4,5,M4
R5+M4+F4,570,12352,35,2849.84,10,R5
R5+M4+F4,570,12374,24,2989.2200000000003,4,R5
R5+M3+F3,387,12372,71,1298.04,3,F3
R5+M3+F3,387,12413,66,999.45,4,M3
R5+M3+F3,387,12421,15,1098.6,6,R5
R5+M2+F2,255,12363,109,552.0,2,F2
R5+M2+F2,255,12375,10,457.5,2,R5
R5+M2+F2,255,12384,28,585.27,2,R5
R5+F1+M1,225,12367,3,168.9,1,R5
R5+F1+M1,225,12430,42,256.4,1,R5
R5+F1+M1,225,12442,2,172.06,1,R5
